mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.002726872762044271,0.0006353555375631269,0.0026579697926839194,0.0002930794641967632,1,{'model__n_neighbors': 1},0.10597622512002902,0.12409247482303387,-0.158522556747122,0.02384871439864696,0.12916787534140237,10
0.002434253692626953,0.0007863420888456498,0.0025405089060465493,0.00015786074837653214,2,{'model__n_neighbors': 2},0.2688888601963081,0.33937912304315165,0.26456273290540966,0.2909435720482898,0.03429461371183684,9
0.0024897257486979165,0.0004615961571445698,0.0031585693359375,0.0003394560381153574,3,{'model__n_neighbors': 3},0.33305693168819006,0.38274397062085674,0.3568991216233608,0.3575666746441359,0.020290140130134523,8
0.0021766026814778647,0.00041399537077928185,0.0024541219075520835,7.154076026476298e-05,4,{'model__n_neighbors': 4},0.3424065481781793,0.4047013681944993,0.40990988884227353,0.3856726017383174,0.030667525873863448,6
0.0021622180938720703,0.0003535084834880487,0.002959092458089193,0.0006851338687518773,5,{'model__n_neighbors': 5},0.3588650117909338,0.37719827848094023,0.41254917632785437,0.3828708221999095,0.022280495127495165,7
0.0019265810648600261,0.00016069958548938973,0.0022422472635904946,0.00010662497775894412,6,{'model__n_neighbors': 6},0.3726645240761507,0.3899233403169079,0.4363893415532042,0.3996590686487543,0.026910981590354308,5
0.0018266836802164714,7.254048250910368e-05,0.0027902921040852866,0.0005655630879363126,7,{'model__n_neighbors': 7},0.41258356171136756,0.39368141779359034,0.44614745295718716,0.417470810820715,0.02169616117103911,4
0.0019974708557128906,7.754238232006497e-05,0.0024897257486979165,6.678851089776843e-05,8,{'model__n_neighbors': 8},0.414478300771393,0.4097786720146648,0.48585014430084794,0.43670237236230197,0.03480564362767687,3
0.0018651485443115234,0.0001114458313901818,0.0025322437286376953,4.430866733060911e-05,9,{'model__n_neighbors': 9},0.41419132203953624,0.41203499523031306,0.5284617424278275,0.4515626865658923,0.05438296933581211,2
0.002457300821940104,0.0008724880984623024,0.0033676624298095703,0.0008443873498131697,10,{'model__n_neighbors': 10},0.408989318351079,0.40530314932769673,0.5443713653620645,0.45288794434694674,0.06470604918135144,1
